Las siguientes graficas son coespectrales fuertes.
With 8 vertices: 

[6] G?AFBo G?B@`w
[6] G?BDF{ G?Bee[
[6] G?B@fw G?BFMo
[6] G?B@vc G?r@eS
[6] G?Bcrg G?b@bs
[6] G?Be|{ G?bDn{
[7] G?`DbK G?qacW
[6] G?`FvW G?qvC[
[6] G?`Fvk GCpe]W
[6] G?b@fc G?bBc[
[7] G?b@fK G?`ecs
[6] G?bBfc G?bLa[
[6] G?bBb{ G?ovE[
[6] G?bERw G?`vBS
[6] G?bBrs G?rNEc
[6] G?bBv{ GCXfVK
[7] G?bFJo G?`ebw
[6] G?bFno G?`ffw
[7] G?`afw GCOefo
[6] G?`eew G?`vCk
[6] G?`edk GCQbdc
[6] G?`bes GCQbRW
[7] G?`cu{ G?`bm[
[7] G?`fe{ G?bNB{
[6] G?`e^o GCQudo
[7] G?`e^{ G?bLv[
[6] G?`fnk G?bM^w
[6] G?`e|{ GCpVVS
[6] G?beew G?qdVc
[7] G?bavg G?bbuW
[6] G?bauw G?o~@[
[6] G?bauk G?qdUw
[6] G?bfUw G?bfRs
[6] G?bfU{ G?rFT{
[6] G?bep{ GCQfFw
[6] G?bbvw G?bNno
[6] G?bczs G?q`vw
[6] G?`vFW G?qm_{
[6] G?`uVs G?rNFc
[7] G?bNBg G?qabw
[7] G?bNCs GCOfDs
[7] G?bLbW G?qadw
[6] G?bL`s G?r@ds
[7] G?bLfW G?otTs
[7] G?bLVw GCQffc
[7] G?bNTk G?qfFs
[6] G?bNj{ G?rDv{
[6] G?bmtk G?qb^w
[6] G?qbEo GCOfEo
[6] G?qbDo GCOfDo
[5] G?qbF{ GCOfF{
[7] G?qaf[ G?otUs
[7] G?qbfS GCQeew
[6] G?qbds G?qmbK
[6] G?qbVo GCQeLs
[6] G?qbVg GCQeJs
[6] G?qbS{ GCQeNW
[6] G?qbQ{ GCQeNg
[6] G?qbV{ GCQeN{
[6] G?q`sw GCQeN_
[7] G?qfRg G?ovDw
[7] G?qev[ G?ot^[
[7] G?qdvK G?qdp{
[6] G?qbrg G?ovdW
[6] G?qb]{ GCpVUs
